Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,50,Nicholas Ciling,Formula Open Saturday,10:42.617,0.000,6,1:46.509,5,90.584 mi/h
2,194,Deion Campbell,Formula Open Saturday,10:43.682,1.065,6,1:46.499,4,90.592 mi/h
3,62a,Andy DiBrino,Formula Open Saturday,10:51.209,8.592,6,1:47.331,2,89.890 mi/h
4,55a,Michael Gilbert,Formula Open Saturday,10:53.998,11.381,6,1:47.789,6,89.508 mi/h
5,222,Manuel Segura,Formula Open Saturday,10:54.921,12.304,6,1:48.155,5,89.205 mi/h
6,86,Justin Fite,Formula Open Cup Saturday,11:5.831,23.214,6,1:50.140,5,87.598 mi/h
7,161,Sahar Zvik,Formula Open Cup Saturday,11:13.570,30.953,6,1:51.033,6,86.893 mi/h
8,946,Rodney Thomas,Formula Open Cup Saturday,11:20.392,37.775,6,1:51.912,3,86.211 mi/h
9,165,Aleks Palacios,Formula Open Cup Saturday,11:20.540,37.923,6,1:51.850,5,86.258 mi/h
10,715,Rafael Chavez,Formula Open Cup Saturday,11:21.683,39.066,6,1:51.532,6,86.504 mi/h
11,28,Geiser Hernandez,Formula Open Cup Saturday,11:24.384,41.767,6,1:52.752,5,85.568 mi/h
12,252,David Steward,Formula Open Cup Saturday,11:28.383,45.766,6,1:53.414,5,85.069 mi/h
13,710,John Menzie,Formula Open Cup Saturday,11:30.504,47.887,6,1:53.759,5,84.811 mi/h
14,741,Andy Branson,Formula Open Cup Saturday,11:33.185,50.568,6,1:54.119,5,84.543 mi/h
15,52,Michael Kilpatrick,Formula Open Cup Saturday,11:37.538,54.921,6,1:54.612,3,84.180 mi/h
16,117,Walt Vogl,Formula Open Cup Saturday,12:5.888,1:23.271,6,1:58.201,6,81.624 mi/h
DNF,87,Brian Berdan,Formula Open Cup Saturday,5:41.797,0.000,3,1:51.857,3,86.253 mi/h
DNS,92,Joel Ohman,Formula Open Saturday,0.000,0.000,-,0.000,-,-
DNS,10,Jeff White,Formula Open Cup Saturday,0.000,0.000,-,0.000,-,-
DNS,145,Jeff Whitmer,Formula Open Cup Saturday,0.000,0.000,-,0.000,-,-
